EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2247057;1;01/03/1979;1;67,2;126,6;25;7;1;1;0;1402,40002441406;1;0,0;14,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;17,4;0,0;0,0;1,2;0,0;0,0;0,0;0,0;18,4;8,0;0,0;0,0;0,0;0,0;67,2;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/02/1979;1;61,2;165,7;13;10;1;1;0;1402,40002441406;1;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;4,1;54,2;5,0;61,2;10,6;0,0;0,0;11,0;10,2;0,0;0,0;0,0;2,2;6,2;0,0;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;,,,
2247057;1;01/01/1979;1;52,4;125,5;20;8;1;1;0;1402,40002441406;1;0,0;10,6;6,8;5,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;0,0;0,0;0,0;0,0;52,4;10,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,0;13,8;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/12/1978;1;43,2;181,3;27;13;1;1;0;974,200012207031;1;0,0;0,0;0,8;0,0;0,0;9,6;30,0;6,6;22,4;4,8;0,0;0,0;0,0;0,0;17,0;8,4;6,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;0,0;43,2;27,2;0,0;0,1;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/11/1978;1;58,2;212,4;28;12;1;1;0;974,200012207031;1;3,8;0,0;0,0;4,4;7,8;32,0;0,0;0,0;0,0;21,4;26,4;14,0;0,8;0,0;0,0;0,0;36,6;0,0;0,0;6,2;0,0;0,8;0,0;0,0;0,0;0,0;0,0;58,2;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/10/1978;1;35,6;104,8;19;9;1;1;0;974,200012207031;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,6;0,0;0,0;2,0;1,6;0,0;15,6;0,0;35,6;5,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,0;4,8;27,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/09/1978;1;18,4;46,4;6;7;1;1;0;974,200012207031;1;9,0;4,6;0,0;0,0;3,7;18,4;0,0;3,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;6,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/08/1978;1;0,1;0,1;24;1;1;1;0;974,200012207031;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/07/1978;1;29,4;73,8;16;5;1;1;0;974,200012207031;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;29,4;0,0;8,0;0,0;0,0;11,0;6,8;18,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2247057;1;01/06/1978;1;64,0;64,3;9;2;1;1;0;974,200012207031;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;64,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,
2247057;1;01/05/1978;1;34,0;66,2;17;6;1;1;0;974,200012207031;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;34,0;4,0;3,3;0,0;23,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
